trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.31531737846603,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-88.64502637691217,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9}",20,0,-60.1751114265886,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.85}",20,0,-130.7170454090068,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.8}",20,0,-78.84051355492305,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.75}",30,0,-62.47145767951705,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.7}",20,0,-77.02284037068472,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",25,0,-88.9017878435766,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,0,-74.11776702023636,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.55}",20,0,-17.882832614237802,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5}",20,11,-34.38828296432882,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,5,-75.77952876168129,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,0,8.194885037887492,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.35}",25,0,-4.647766351112656,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",25,3,-142.87501716515328,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.25}",30,0,-41.25908765217446,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,0,-53.33424816429573,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,11,-24.78108723035095,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",25,6,-35.437335819289096,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",35,14,11.969482924047266,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.0}",25,3,29.63340421129833,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,4,0.045958316990570736,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",35,19,-25.285399430233152,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,11,3.4224077950980742,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,2.101731701222957,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,18,9.507414895630426,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,11,26.572224435086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,8,-34.128557278105326,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,34.13075653840139,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.539780689610057,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,11,9.229780898841067,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
