trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.997}",25,0,-169.4119627723219,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.001, 'e': 0.994}",25,0,-154.65793508074495,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.001, 'e': 0.991}",20,0,-130.73611266225376,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.988}",20,0,-127.72559879219895,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.985}",20,0,-77.61243435341257,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.982}",25,0,-104.53133586162569,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.001, 'e': 0.979}",25,0,-128.44140007213483,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.976}",30,0,-121.66370265385541,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.001, 'e': 0.973}",20,0,-142.73877574053117,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.97}",20,0,-79.75772894689882,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.967}",25,0,-92.77844499657391,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.964}",20,0,-124.26530241666491,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.001, 'e': 0.961}",30,0,-187.87070029200527,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
14,False,"{'a': 0.001, 'e': 0.958}",20,0,-87.75714296177959,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.955}",20,0,-158.5808457160078,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.952}",25,0,-164.6464232882572,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.949}",25,0,-115.2031823781233,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.001, 'e': 0.946}",20,0,-87.3115187665232,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.001, 'e': 0.943}",25,0,-205.92585454504012,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
20,False,"{'a': 0.001, 'e': 0.94}",25,0,-183.73396818946017,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
21,False,"{'a': 0.001, 'e': 0.9369999999999999}",20,0,-140.6792772378343,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.9339999999999999}",20,0,-36.37371513863602,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.001, 'e': 0.9309999999999999}",25,0,-91.72085075760997,"{0: 12, 1: 6, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.001, 'e': 0.9279999999999999}",20,0,-14.015034375729304,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.001, 'e': 0.9249999999999999}",20,0,-144.99496699007466,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
26,False,"{'a': 0.001, 'e': 0.9219999999999999}",25,0,-125.65878267494425,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.001, 'e': 0.9189999999999999}",20,0,-52.65602513686787,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.001, 'e': 0.9159999999999999}",25,0,-196.74236175019024,"{0: 12, 1: 6, 2: 2, 3: 2, 4: 3}",0
29,False,"{'a': 0.001, 'e': 0.9129999999999999}",30,0,-112.56833805428732,"{0: 16, 1: 9, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.001, 'e': 0.9099999999999999}",25,0,-121.78121112226134,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
31,False,"{'a': 0.001, 'e': 0.9069999999999999}",20,5,-67.79622586680094,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.001, 'e': 0.9039999999999999}",20,0,-77.45224957918636,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
33,False,"{'a': 0.001, 'e': 0.9009999999999999}",25,0,-53.25173451498673,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.001, 'e': 0.8979999999999999}",30,0,-134.8274330227153,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
35,False,"{'a': 0.001, 'e': 0.8949999999999999}",20,0,-149.65736746912881,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.001, 'e': 0.8919999999999999}",20,0,-106.17259389770797,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.001, 'e': 0.8889999999999999}",30,6,-168.50217721814406,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 3}",1
38,False,"{'a': 0.001, 'e': 0.8859999999999999}",25,0,-14.568252166370266,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.001, 'e': 0.8829999999999999}",20,0,-50.29949918291002,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.001, 'e': 0.8799999999999999}",20,0,-53.150661406110196,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
41,False,"{'a': 0.001, 'e': 0.8769999999999999}",20,0,-101.77800460154849,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.8739999999999999}",25,0,-141.495236658963,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
43,False,"{'a': 0.001, 'e': 0.8709999999999999}",20,0,-71.71220314219933,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
44,False,"{'a': 0.001, 'e': 0.8679999999999999}",25,0,-146.8301329893221,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
45,False,"{'a': 0.001, 'e': 0.8649999999999999}",25,0,-155.08648078233034,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
46,False,"{'a': 0.001, 'e': 0.8619999999999999}",25,0,-66.64333178124072,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.8589999999999999}",30,0,-143.068599942684,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
48,False,"{'a': 0.001, 'e': 0.8559999999999999}",20,0,-93.09253422422434,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.001, 'e': 0.8529999999999999}",25,0,-64.32912230920563,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
50,False,"{'a': 0.001, 'e': 0.8499999999999999}",25,0,-92.81928748985844,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
51,False,"{'a': 0.001, 'e': 0.8469999999999999}",25,0,-111.28894872573039,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.8439999999999999}",20,0,-73.95125489115483,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
53,False,"{'a': 0.001, 'e': 0.8409999999999999}",25,0,-118.82002592002435,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.8379999999999999}",25,8,-28.891095310375324,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.001, 'e': 0.8349999999999999}",25,0,-66.25613186773111,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.8319999999999999}",25,0,-77.88138962848852,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.001, 'e': 0.8289999999999998}",30,0,-128.554335165418,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.001, 'e': 0.8259999999999998}",25,0,-100.55120589379509,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
59,False,"{'a': 0.001, 'e': 0.8229999999999998}",25,0,-47.340660359350224,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.001, 'e': 0.8199999999999998}",35,11,-48.3030456961307,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 0}",1
61,False,"{'a': 0.001, 'e': 0.8169999999999998}",25,0,-147.70644824742217,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
62,False,"{'a': 0.001, 'e': 0.8139999999999998}",20,0,-67.59253104721279,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.001, 'e': 0.8109999999999998}",20,0,-46.19577327863519,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.001, 'e': 0.8079999999999998}",30,0,-87.26994685931682,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.001, 'e': 0.8049999999999998}",20,4,-74.38881283306145,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
66,False,"{'a': 0.001, 'e': 0.8019999999999998}",25,10,-36.09263086324815,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.001, 'e': 0.7989999999999998}",20,0,-116.82831761247262,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.001, 'e': 0.7959999999999998}",20,0,-96.99540711283235,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
69,False,"{'a': 0.001, 'e': 0.7929999999999998}",20,11,-18.698394009577356,"{0: 4, 1: 5, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.001, 'e': 0.7899999999999998}",25,0,-64.46280156395758,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
71,False,"{'a': 0.001, 'e': 0.7869999999999998}",20,0,-85.18496167313674,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.001, 'e': 0.7839999999999998}",20,0,-29.656121946538065,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
73,False,"{'a': 0.001, 'e': 0.7809999999999998}",30,1,-115.4656125772803,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 1}",1
74,False,"{'a': 0.001, 'e': 0.7779999999999998}",20,0,-86.36648010443471,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.001, 'e': 0.7749999999999998}",35,1,-267.07643818882644,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 4}",1
76,False,"{'a': 0.001, 'e': 0.7719999999999998}",25,0,-101.85642301513796,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
77,False,"{'a': 0.001, 'e': 0.7689999999999998}",25,0,-128.07371329648055,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.001, 'e': 0.7659999999999998}",30,0,-79.57480436508233,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.001, 'e': 0.7629999999999998}",25,12,-1.682422485528149,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.001, 'e': 0.7599999999999998}",20,7,-6.095823167742846,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.001, 'e': 0.7569999999999998}",25,0,-63.21916620397191,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
82,False,"{'a': 0.001, 'e': 0.7539999999999998}",20,0,-187.6921871558142,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
83,False,"{'a': 0.001, 'e': 0.7509999999999998}",30,0,-101.13868341951336,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
84,False,"{'a': 0.001, 'e': 0.7479999999999998}",25,20,4.2525493460848125,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.001, 'e': 0.7449999999999998}",20,0,-95.51859667478095,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
86,False,"{'a': 0.001, 'e': 0.7419999999999998}",20,0,-125.8826477900755,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
87,False,"{'a': 0.001, 'e': 0.7389999999999998}",25,0,-96.7983592451429,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
88,False,"{'a': 0.001, 'e': 0.7359999999999998}",20,1,-21.30803482672295,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.001, 'e': 0.7329999999999998}",25,0,-44.93432781501225,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
90,False,"{'a': 0.001, 'e': 0.7299999999999998}",25,0,-69.5708997685092,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
91,False,"{'a': 0.001, 'e': 0.7269999999999998}",20,3,-27.747450620861052,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.001, 'e': 0.7239999999999998}",35,0,-83.55445351049656,"{0: 24, 1: 5, 2: 5, 3: 0, 4: 1}",0
93,False,"{'a': 0.001, 'e': 0.7209999999999998}",20,0,-101.86114108820007,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
94,False,"{'a': 0.001, 'e': 0.7179999999999997}",30,0,-101.6333217003334,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
95,False,"{'a': 0.001, 'e': 0.7149999999999997}",20,0,-105.5025612974918,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
96,False,"{'a': 0.001, 'e': 0.7119999999999997}",25,4,-52.819111706347115,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1
97,False,"{'a': 0.001, 'e': 0.7089999999999997}",20,8,-6.232909284920185,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.001, 'e': 0.7059999999999997}",25,0,-105.60615551178296,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
99,False,"{'a': 0.001, 'e': 0.7029999999999997}",25,0,-84.55663835049522,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
100,False,"{'a': 0.001, 'e': 0.6999999999999997}",20,0,-33.626805149008,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.001, 'e': 0.6969999999999997}",20,0,-115.00791438923164,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
102,False,"{'a': 0.001, 'e': 0.6939999999999997}",20,3,-66.63255835861226,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
103,False,"{'a': 0.001, 'e': 0.6909999999999997}",25,0,-20.812268855423493,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.001, 'e': 0.6879999999999997}",20,2,-58.9771221131707,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 0}",1
105,False,"{'a': 0.001, 'e': 0.6849999999999997}",30,0,-128.02289879574042,"{0: 21, 1: 4, 2: 1, 3: 2, 4: 2}",0
106,False,"{'a': 0.001, 'e': 0.6819999999999997}",30,0,-121.22220659968345,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
107,False,"{'a': 0.001, 'e': 0.6789999999999997}",25,0,-100.70285193492118,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
108,False,"{'a': 0.001, 'e': 0.6759999999999997}",25,0,-71.76555474999265,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
109,False,"{'a': 0.001, 'e': 0.6729999999999997}",20,1,-96.02155296031822,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
110,False,"{'a': 0.001, 'e': 0.6699999999999997}",20,0,-51.14032460028565,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.001, 'e': 0.6669999999999997}",20,0,-64.11735751476708,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",1
112,False,"{'a': 0.001, 'e': 0.6639999999999997}",20,7,-113.2508453327453,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 2}",1
113,False,"{'a': 0.001, 'e': 0.6609999999999997}",25,0,-122.38751189675278,"{0: 18, 1: 4, 2: 0, 3: 0, 4: 3}",0
114,False,"{'a': 0.001, 'e': 0.6579999999999997}",30,0,-51.37655657988692,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",1
115,False,"{'a': 0.001, 'e': 0.6549999999999997}",25,0,-69.67372368211225,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
116,False,"{'a': 0.001, 'e': 0.6519999999999997}",20,0,-64.90551676692212,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
117,False,"{'a': 0.001, 'e': 0.6489999999999997}",25,0,-128.20173143694836,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
118,False,"{'a': 0.001, 'e': 0.6459999999999997}",20,0,-42.325694501119386,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
119,False,"{'a': 0.001, 'e': 0.6429999999999997}",20,10,-41.777091516882834,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.001, 'e': 0.6399999999999997}",20,0,-80.14062195353524,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
121,False,"{'a': 0.001, 'e': 0.6369999999999997}",20,0,-90.12434716394492,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
