trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.997}",25,0,-123.97387877723759,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.994}",20,0,-97.94412308899015,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.001, 'e': 0.991}",20,0,-134.21408119549778,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.001, 'e': 0.988}",25,0,-145.33683303673683,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.985}",25,0,-241.03268608326547,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
6,False,"{'a': 0.001, 'e': 0.982}",20,0,-38.040781045126025,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.001, 'e': 0.979}",25,0,-82.27771289702036,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.976}",35,0,-136.68531405064834,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.001, 'e': 0.973}",25,0,-111.19888051759997,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.97}",25,0,-53.736127766165026,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.967}",20,0,-238.37114337954117,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0.001, 'e': 0.964}",20,0,-143.76207935885,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.001, 'e': 0.961}",20,2,-78.63037598456692,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.001, 'e': 0.958}",25,0,-64.35200016135484,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.955}",25,0,-157.07895279177262,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.952}",20,0,-47.99135246659563,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.949}",25,0,-58.39049099872643,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.001, 'e': 0.946}",20,0,-114.67134627752596,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.001, 'e': 0.943}",30,0,-258.4006022154604,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
20,False,"{'a': 0.001, 'e': 0.94}",25,0,-47.259794018963575,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.001, 'e': 0.9369999999999999}",25,0,-119.12716419791245,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
22,False,"{'a': 0.001, 'e': 0.9339999999999999}",20,0,-39.63850814578007,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
