trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.95}",25,0,-156.18320886523657,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.001, 'e': 0.8999999999999999}",25,0,-78.47738423095582,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
3,False,"{'a': 0.001, 'e': 0.8499999999999999}",20,0,-146.00959696640086,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.001, 'e': 0.7999999999999998}",25,0,-130.9152251538899,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.7499999999999998}",25,0,-128.82570657795011,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.6999999999999997}",30,13,-46.667092879618004,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.001, 'e': 0.6499999999999997}",25,0,-106.89513910759574,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.001, 'e': 0.5999999999999996}",20,0,-57.523319630443495,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.5499999999999996}",25,0,-64.03370502029773,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.001, 'e': 0.4999999999999996}",20,0,-35.14080132947335,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.4499999999999996}",20,0,-46.660175043747856,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.001, 'e': 0.39999999999999963}",20,0,-36.13660011169846,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.34999999999999964}",25,0,-58.993791234838305,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.001, 'e': 0.29999999999999966}",20,0,-81.69694993915331,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.24999999999999967}",20,12,1.6050506283475525,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.001, 'e': 0.19999999999999968}",35,0,-38.60774090977411,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.001, 'e': 0.1499999999999997}",30,0,0.8837101873391473,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.001, 'e': 0.09999999999999969}",30,0,-9.66307778594405,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.001, 'e': 0.049999999999999684}",20,0,27.503475335260216,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.001, 'e': -3.191891195797325e-16}",20,0,18.181558702323198,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,0,-32.170338141313835,"{0: 32, 1: 0, 2: 0, 3: 2, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,41.150490892081756,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-8.260585376528763,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,3.777999292871761,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,32.46160288339432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,32.0415122499252,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",35,0,39.904598623089754,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,11,-2.654544447739798,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-61.6564891905704,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,8,29.004540125180462,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
