trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",25,0,-67.65457370451513,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.005, 'e': 0.9950124791926823}",30,0,-156.062670048343,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.9900498337491681}",20,0,-111.71004776818958,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.005, 'e': 0.9851119396030626}",30,0,-65.02933322523359,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-115.66580597874018,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9753099120283326}",25,0,-79.77020761866724,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9704455335485082}",20,0,-109.01093390579973,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,2,-52.6243425628343,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.005, 'e': 0.9607894391523232}",25,0,-242.89974199185775,"{0: 11, 1: 1, 2: 7, 3: 3, 4: 3}",0
10,False,"{'a': 0.005, 'e': 0.9559974818331}",25,1,-32.59844932562553,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.005, 'e': 0.951229424500714}",25,0,-108.31663577478868,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,0,-92.26094022126182,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9417645335842487}",25,0,-96.22763191046592,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9370674633774034}",30,0,-160.33515967439362,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,1,-119.687083516765,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
16,False,"{'a': 0.005, 'e': 0.9277434863285529}",30,0,-317.0279952006189,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 6}",0
17,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-48.53307918890083,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9185122844014574}",30,0,-172.7655702440959,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.005, 'e': 0.9139311852712282}",25,0,-93.3656249799678,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.005, 'e': 0.9093729344682314}",20,0,-73.57974794313664,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
21,False,"{'a': 0.005, 'e': 0.9048374180359595}",30,0,-183.24481522293553,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
22,False,"{'a': 0.005, 'e': 0.9003245225862656}",20,0,-57.453980554599795,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
23,False,"{'a': 0.005, 'e': 0.8958341352965282}",30,0,-128.85070679291397,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.005, 'e': 0.8913661439068313}",25,14,-6.908403305031132,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.005, 'e': 0.8869204367171575}",30,0,-229.0398602421281,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
26,False,"{'a': 0.005, 'e': 0.8824969025845955}",20,0,-71.07037146374124,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.005, 'e': 0.8780954309205613}",20,0,-131.85297706164312,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.005, 'e': 0.8737159116880344}",25,0,-66.26978991592328,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.005, 'e': 0.8693582353988059}",20,0,-209.12470773547156,"{0: 10, 1: 0, 2: 4, 3: 3, 4: 3}",0
30,False,"{'a': 0.005, 'e': 0.8650222931107413}",30,0,-125.09269523579157,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.005, 'e': 0.8607079764250578}",30,0,-230.1382455913238,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
32,False,"{'a': 0.005, 'e': 0.8564151774836135}",20,0,-55.99672398545838,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
33,False,"{'a': 0.005, 'e': 0.8521437889662113}",20,0,-210.1214607300192,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
34,False,"{'a': 0.005, 'e': 0.8478937040879159}",30,0,-122.25910681035987,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
35,False,"{'a': 0.005, 'e': 0.8436648165963837}",30,0,-146.23659025062813,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.005, 'e': 0.8394570207692074}",30,0,-177.6711240009642,"{0: 16, 1: 1, 2: 11, 3: 0, 4: 2}",0
37,False,"{'a': 0.005, 'e': 0.835270211411272}",20,0,-174.48866887566425,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
38,False,"{'a': 0.005, 'e': 0.8311042838521256}",25,0,-316.01859210383935,"{0: 10, 1: 2, 2: 4, 3: 4, 4: 5}",0
39,False,"{'a': 0.005, 'e': 0.8269591339433623}",30,0,-232.35224169480188,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
40,False,"{'a': 0.005, 'e': 0.8228346580560184}",30,8,-69.81123667637969,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 0}",1
41,False,"{'a': 0.005, 'e': 0.8187307530779818}",30,0,-87.56905280196672,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
42,False,"{'a': 0.005, 'e': 0.8146473164114145}",20,1,-109.65941434307395,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
43,False,"{'a': 0.005, 'e': 0.8105842459701871}",20,0,-121.44272476298399,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
44,False,"{'a': 0.005, 'e': 0.8065414401773269}",25,6,-1.516431624364451,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.005, 'e': 0.8025187979624785}",20,0,-109.34168977043169,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
46,False,"{'a': 0.005, 'e': 0.7985162187593771}",20,0,-33.50240724878813,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.005, 'e': 0.794533602503334}",30,0,-233.9721628159625,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
