trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",25,0,-94.68485779425652,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",25,0,-88.39047524604112,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-136.84055991461534,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.001, 'e': 0.997004495503373}",25,0,-89.95041580262867,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",25,0,-88.73403765055963,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-180.55875192202578,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,6,-79.64488979829245,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-94.32777211113468,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,0,-96.78475922282634,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",25,0,-130.42253758039072,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-96.58643017003479,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,0,-133.05726651094605,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",25,0,-189.0237988974619,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,0,-111.44448897795765,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",25,0,-76.05234016484768,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-244.05033730397955,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-112.6857626148452,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",35,0,-151.49567718842064,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,12,-6.7891129576917795,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.001, 'e': 0.981179362242806}",20,0,-201.3305818252216,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",25,0,-82.14609144685633,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",30,0,-247.09505905714752,"{0: 16, 1: 2, 2: 5, 3: 4, 4: 3}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121}",20,0,-61.488614237041176,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",30,13,-135.38689322576826,"{0: 9, 1: 1, 2: 3, 3: 2, 4: 2}",1
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",20,0,-94.80554025570831,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",25,0,-92.37175423190942,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",25,0,-205.06148102659537,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",20,0,-167.8509893976361,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",25,0,-28.663551274506126,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",20,0,-126.94604792491083,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",30,0,-138.39371613736884,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
32,False,"{'a': 0.001, 'e': 0.9694755730760259}",25,0,-120.38100442279767,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",20,0,-105.98124853950316,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
34,False,"{'a': 0.001, 'e': 0.967538559589032}",25,0,-71.47512543131741,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.001, 'e': 0.9665715046375066}",20,0,-109.25147986919856,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
36,False,"{'a': 0.001, 'e': 0.9656054162575665}",30,0,-163.94673493581257,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
37,False,"{'a': 0.001, 'e': 0.9646402934831231}",25,0,-165.59014729172895,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
38,False,"{'a': 0.001, 'e': 0.9636761353490535}",20,0,-68.5328978704312,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.001, 'e': 0.9627129408911995}",35,5,-122.63899347268644,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",1
40,False,"{'a': 0.001, 'e': 0.9617507091463667}",20,0,-104.3391025448658,"{0: 9, 1: 5, 2: 3, 3: 3, 4: 0}",0
41,False,"{'a': 0.001, 'e': 0.9607894391523232}",20,0,-88.23761466154139,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",25,0,-64.20158887865703,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",30,13,-20.553877968511184,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,0,-85.78756370133085,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,6,-48.83847797137521,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.001, 'e': 0.9559974818331}",20,0,-55.00275473915758,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",25,0,-85.25929027015496,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.001, 'e': 0.9540873975903711}",25,0,-114.81648668831606,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
49,False,"{'a': 0.001, 'e': 0.9531337870775047}",20,6,-44.18853442875757,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
50,False,"{'a': 0.001, 'e': 0.9521811296985049}",25,0,-74.66064667414753,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
51,False,"{'a': 0.001, 'e': 0.951229424500714}",25,0,-175.66339446354442,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
52,False,"{'a': 0.001, 'e': 0.950278670532427}",25,0,-95.06938648321582,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.001, 'e': 0.9493288668428895}",30,0,-239.79358028662,"{0: 16, 1: 4, 2: 4, 3: 2, 4: 4}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",20,0,-147.83153703929284,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
55,False,"{'a': 0.001, 'e': 0.9474321065017983}",25,0,-192.67962009735857,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
56,False,"{'a': 0.001, 'e': 0.9464851479534838}",20,0,-189.3759832382131,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
57,False,"{'a': 0.001, 'e': 0.9455391358903963}",25,0,-123.30426518056547,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
58,False,"{'a': 0.001, 'e': 0.9445940693665233}",25,0,-284.3949157661365,"{0: 8, 1: 1, 2: 11, 3: 1, 4: 4}",0
59,False,"{'a': 0.001, 'e': 0.9436499474367985}",30,0,-246.9206108589288,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
60,False,"{'a': 0.001, 'e': 0.9427067691570997}",30,0,-158.1511345380969,"{0: 21, 1: 0, 2: 4, 3: 3, 4: 2}",0
61,False,"{'a': 0.001, 'e': 0.9417645335842487}",25,0,-83.3071191724266,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
62,False,"{'a': 0.001, 'e': 0.9408232397760097}",20,7,-37.539884863615676,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
63,False,"{'a': 0.001, 'e': 0.9398828867910889}",20,0,-119.30228569997547,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
64,False,"{'a': 0.001, 'e': 0.9389434736891332}",20,0,-23.30093672448338,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.001, 'e': 0.9380049995307295}",25,0,-185.76405908614836,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
66,False,"{'a': 0.001, 'e': 0.9370674633774034}",20,0,-90.94429684923936,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
67,False,"{'a': 0.001, 'e': 0.9361308642916188}",25,0,-95.80627833342544,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.001, 'e': 0.9351952013367766}",35,0,-87.85836986173433,"{0: 24, 1: 3, 2: 6, 3: 2, 4: 0}",0
69,False,"{'a': 0.001, 'e': 0.9342604735772135}",20,13,-20.30799494808206,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.001, 'e': 0.933326680078202}",20,0,-62.202620555224925,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
71,False,"{'a': 0.001, 'e': 0.9323938199059483}",20,0,-58.72285978863405,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
72,False,"{'a': 0.001, 'e': 0.9314618921275921}",20,0,-55.91968822440277,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
73,False,"{'a': 0.001, 'e': 0.9305308958112057}",20,0,-87.18740281887948,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.001, 'e': 0.9296008300257927}",30,0,-194.51772617891163,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
75,False,"{'a': 0.001, 'e': 0.9286716938412872}",20,13,-11.09088565925126,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.001, 'e': 0.9277434863285529}",25,0,-124.98593173835846,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
77,False,"{'a': 0.001, 'e': 0.9268162065593822}",25,16,0.8372384137035276,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.001, 'e': 0.9258898536064953}",30,0,-265.7206598080759,"{0: 12, 1: 4, 2: 8, 3: 3, 4: 3}",0
79,False,"{'a': 0.001, 'e': 0.9249644265435393}",20,0,-50.57805418188577,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
80,False,"{'a': 0.001, 'e': 0.9240399244450868}",20,0,-131.87506045238416,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
81,False,"{'a': 0.001, 'e': 0.9231163463866358}",25,0,-67.87004531131927,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.001, 'e': 0.922193691444608}",25,0,-63.60893569531177,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
83,False,"{'a': 0.001, 'e': 0.9212719586963487}",25,0,-74.48307425354312,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
84,False,"{'a': 0.001, 'e': 0.9203511472201247}",20,0,-80.73085154573322,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.001, 'e': 0.9194312560951247}",20,0,-51.48979640001718,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
86,False,"{'a': 0.001, 'e': 0.9185122844014574}",35,0,-130.94352781237404,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
87,False,"{'a': 0.001, 'e': 0.9175942312201509}",30,0,-49.75845003917874,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.001, 'e': 0.9166770956331523}",25,12,-109.51554306400199,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 2}",1
89,False,"{'a': 0.001, 'e': 0.9157608767233256}",30,0,-171.27756813869996,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
90,False,"{'a': 0.001, 'e': 0.914845573574452}",35,0,-53.921138989261806,"{0: 24, 1: 4, 2: 7, 3: 0, 4: 0}",0
91,False,"{'a': 0.001, 'e': 0.9139311852712282}",30,0,-168.499050343425,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
92,False,"{'a': 0.001, 'e': 0.9130177108992658}",20,0,-140.15528767884467,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
93,False,"{'a': 0.001, 'e': 0.9121051495450904}",25,0,-123.9170208215437,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
94,False,"{'a': 0.001, 'e': 0.9111935002961405}",25,0,-169.53739915750324,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
95,False,"{'a': 0.001, 'e': 0.910282762240767}",20,0,-82.0383112110026,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
96,False,"{'a': 0.001, 'e': 0.9093729344682314}",20,0,-39.80796670036928,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.001, 'e': 0.9084640160687062}",30,5,-109.37056928188765,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",1
98,False,"{'a': 0.001, 'e': 0.9075560061332727}",25,0,-6.46787394026246,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.001, 'e': 0.9066489037539209}",25,0,-159.0598505206387,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
100,False,"{'a': 0.001, 'e': 0.9057427080235485}",25,12,-45.10842311679974,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
101,False,"{'a': 0.001, 'e': 0.9048374180359595}",20,0,-146.70407219661058,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
102,False,"{'a': 0.001, 'e': 0.9039330328858641}",20,0,-115.89114618357807,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
103,False,"{'a': 0.001, 'e': 0.9030295516688768}",35,0,-129.22281264681376,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
104,False,"{'a': 0.001, 'e': 0.9021269734815165}",30,0,-234.5306421290323,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
105,False,"{'a': 0.001, 'e': 0.9012252974212047}",25,0,-100.38104241309485,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
106,False,"{'a': 0.001, 'e': 0.9003245225862656}",30,0,-314.28792118321866,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 5}",0
107,False,"{'a': 0.001, 'e': 0.899424648075924}",25,0,-65.79783037910963,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
108,False,"{'a': 0.001, 'e': 0.8985256729903055}",30,0,-121.79708581824505,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
109,False,"{'a': 0.001, 'e': 0.8976275964304349}",25,0,-65.83462802168631,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
110,False,"{'a': 0.001, 'e': 0.8967304174982355}",30,0,-147.5146314778503,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
111,False,"{'a': 0.001, 'e': 0.8958341352965282}",20,0,-112.56945049114036,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
112,False,"{'a': 0.001, 'e': 0.894938748929031}",25,0,-53.83137366517991,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
113,False,"{'a': 0.001, 'e': 0.8940442575003572}",30,0,-98.13861988594921,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
114,False,"{'a': 0.001, 'e': 0.8931506601160155}",20,0,-0.8097661625553725,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
115,False,"{'a': 0.001, 'e': 0.8922579558824083}",25,0,-53.656990423271864,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
116,False,"{'a': 0.001, 'e': 0.8913661439068313}",25,0,-131.09432159299016,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
117,False,"{'a': 0.001, 'e': 0.8904752232974726}",20,0,-63.84094983515788,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
118,False,"{'a': 0.001, 'e': 0.8895851931634113}",20,0,-130.24566442459312,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
119,False,"{'a': 0.001, 'e': 0.8886960526146174}",25,0,-53.450770549846126,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
120,False,"{'a': 0.001, 'e': 0.8878078007619501}",20,0,-93.19415942777354,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
121,False,"{'a': 0.001, 'e': 0.8869204367171575}",30,0,-154.116062712641,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
122,False,"{'a': 0.001, 'e': 0.8860339595928756}",25,12,-6.5594595620990015,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.001, 'e': 0.8851483685026271}",20,0,-85.52980139610615,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
124,False,"{'a': 0.001, 'e': 0.8842636625608209}",25,0,-92.45386432168334,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
125,False,"{'a': 0.001, 'e': 0.8833798408827509}",25,8,-14.426767593482364,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.001, 'e': 0.8824969025845955}",25,0,-154.0250458759435,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
127,False,"{'a': 0.001, 'e': 0.8816148467834161}",20,0,-134.3240612870638,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
128,False,"{'a': 0.001, 'e': 0.880733672597157}",20,0,-71.78855132007804,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
129,False,"{'a': 0.001, 'e': 0.8798533791446438}",20,0,-74.48342287948486,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
130,False,"{'a': 0.001, 'e': 0.8789739655455832}",30,0,-144.79562314746804,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
131,False,"{'a': 0.001, 'e': 0.8780954309205613}",25,0,-57.92800660892464,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.001, 'e': 0.8772177743910435}",25,0,-87.9334131979459,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
133,False,"{'a': 0.001, 'e': 0.8763409950793732}",20,0,-55.17495769254507,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
134,False,"{'a': 0.001, 'e': 0.8754650921087711}",20,0,-47.11067958880696,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
135,False,"{'a': 0.001, 'e': 0.874590064603334}",25,11,-58.585797022744444,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 0}",1
136,False,"{'a': 0.001, 'e': 0.8737159116880344}",25,1,-84.34005878536071,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
137,False,"{'a': 0.001, 'e': 0.8728426324887193}",20,0,-46.565325634602644,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
138,False,"{'a': 0.001, 'e': 0.8719702261321094}",20,0,-130.07904054609278,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
139,False,"{'a': 0.001, 'e': 0.8710986917457983}",25,6,-95.07067360862355,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
140,False,"{'a': 0.001, 'e': 0.8702280284582515}",35,0,-120.75935366719762,"{0: 21, 1: 4, 2: 8, 3: 2, 4: 0}",0
141,False,"{'a': 0.001, 'e': 0.8693582353988059}",25,14,-67.765076925494,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
142,False,"{'a': 0.001, 'e': 0.8684893116976679}",20,0,-82.1756034040194,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
143,False,"{'a': 0.001, 'e': 0.867621256485914}",20,0,-84.39129093389975,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 0.001, 'e': 0.8667540688954889}",30,17,-64.5489343212719,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
145,False,"{'a': 0.001, 'e': 0.865887748059205}",25,0,-188.23703869515592,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
146,False,"{'a': 0.001, 'e': 0.8650222931107413}",25,0,-70.62133789576338,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
147,False,"{'a': 0.001, 'e': 0.8641577031846428}",30,4,-54.00562130046349,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 0}",1
148,False,"{'a': 0.001, 'e': 0.8632939774163194}",25,0,-123.066341334794,"{0: 12, 1: 4, 2: 6, 3: 3, 4: 0}",0
149,False,"{'a': 0.001, 'e': 0.8624311149420455}",20,0,-75.54293144139234,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
150,False,"{'a': 0.001, 'e': 0.8615691148989583}",20,0,-109.63746570881395,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
151,False,"{'a': 0.001, 'e': 0.8607079764250578}",25,0,-105.81085058521717,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
