trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.95}",25,0,-122.20035604642885,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.8999999999999999}",25,0,-92.06392225342395,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.005, 'e': 0.8499999999999999}",20,0,-158.1349533219534,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.005, 'e': 0.7999999999999998}",20,0,-47.695745246407384,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.7499999999999998}",25,0,-145.53549205084033,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.005, 'e': 0.6999999999999997}",20,12,-30.416955903093132,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.005, 'e': 0.6499999999999997}",30,0,-248.29879575385306,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
8,False,"{'a': 0.005, 'e': 0.5999999999999996}",30,0,-40.460410632770056,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.005, 'e': 0.5499999999999996}",25,0,-110.82415952928208,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.005, 'e': 0.4999999999999996}",30,0,-328.33199413373575,"{0: 11, 1: 5, 2: 6, 3: 3, 4: 5}",0
11,False,"{'a': 0.005, 'e': 0.4499999999999996}",20,0,-134.02963550158685,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.39999999999999963}",35,0,-233.05335667468324,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 5}",0
13,False,"{'a': 0.005, 'e': 0.34999999999999964}",35,3,-143.70274281687705,"{0: 21, 1: 1, 2: 6, 3: 3, 4: 1}",1
14,False,"{'a': 0.005, 'e': 0.29999999999999966}",20,0,-91.67223358561225,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.24999999999999967}",20,0,-13.250336167210843,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.005, 'e': 0.19999999999999968}",20,9,-10.057395920062193,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.005, 'e': 0.1499999999999997}",25,0,-127.76069020289785,"{0: 17, 1: 1, 2: 2, 3: 4, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.09999999999999969}",30,0,-116.29873687431599,"{0: 20, 1: 4, 2: 2, 3: 3, 4: 1}",0
19,False,"{'a': 0.005, 'e': 0.049999999999999684}",25,0,-139.68867504418174,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.005, 'e': -3.191891195797325e-16}",30,14,-56.98385735057749,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-196.6469819565667,"{0: 9, 1: 5, 2: 8, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-229.39040345155192,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 4}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-39.05098191462442,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-79.82534573583112,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-54.01206232549212,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-140.9105421952812,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-99.05547810340198,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-155.78872248035233,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-88.11491186696509,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-148.2074951995073,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
